variable,missing_pct
country_name,0.0
iso3,0.0
year,0.0
poverty_extreme_equity,77.47
poverty_moderate_equity,77.47
poverty_gap_equity,98.16
informality_productivity_equity,94.63
informality_social_protection_equity,94.58
female_lfp_equity,94.58
male_lfp_equity,94.58
lfp_total_equity,94.58
unemployment_equity,94.58
youth_unemployment_equity,94.58
labor_income_gini_equity,94.19
source_equity_lab,76.13
labor_force_participation_ilostat,50.14
employment_to_population_ilostat,58.19
unemployment_ilostat,69.31
informality_ilostat,81.22
working_poverty_ilostat,63.67
source_ilostat,23.98
gdp_per_capita_constant,3.07
gdp_per_capita_ppp,51.09
gdp_per_capita_growth,4.58
poverty_extreme_wdi,72.0
poverty_moderate_wdi,72.0
poverty_gap_wdi,72.0
social_protection_coverage_wdi,88.71
population_growth,3.41
source_wdi,0.39
population,66.46
gdp_per_capita_constant_alt,66.46
source_wdi_gdp_pop,66.46
social_protection_coverage_aspire,88.71
social_protection_adequacy_aspire,88.88
social_assistance_coverage_aspire,88.71
social_insurance_coverage_aspire,88.76
cash_transfer_coverage_aspire,95.19
pension_coverage_aspire,88.76
public_transfer_benefit_q1_aspire,88.88
source_aspire,88.65
gini_wb,72.39
source_wb_gini,1.9
social_expenditure,91.39
education_expenditure,91.39
health_expenditure,91.39
government_expenditure_total,91.39
source_cepal,64.51
sedlac_income_mean,99.66
source_sedlac,78.14
region_lac,0.0
bolivia,0.0
analysis_sample,0.0
monetary_poverty,67.24
extreme_poverty,67.24
poverty_gap,72.0
labor_informality,81.16
social_protection_coverage,88.71
female_labor_participation,94.58
male_labor_participation,94.58
labor_force_participation,50.08
unemployment,69.26
youth_unemployment,94.58
employment,58.19
gdp_per_capita,3.07
log_gdp_per_capita,3.07
gini,71.72
population_total,66.46
labor_informality_lag1,81.83
social_protection_lag1,88.71
poverty_lag1,67.36
informality_x_social_protection,89.88
structural_vulnerability_index,2.35
